pax	PABGS
Portsmouth	PORTS/PHO*UT
partridge	PAR/TREUPBLG, PART/REUPBLG
San Salvador	SAPB/SAL/SRA/TKOR, SAPB/SAL/TKOR
rectangles	REBG/TAPBG/HR-S, REBG/TAPBG/-LS, REBG/TAEUPBG/-LS
authors	THOERS, A*UT/ORS
sponge	SPOPBG, SPOPB/*PBLG, SPUPB/-PBLG, SPOPB/-PBLG
dictatorship	TKEUBG/TAEUT/TOR/SHEUP, TKEUBG/TAEU/TOR/SHEUP
nexus	STPHEBGS/SKWRUS, TPHEBGS/KWRUS, TPHEBGS/SKWRUS
wang	WAEPBG
countersink	KOUPBT/ER/SEUPB/-BG, KOUPBT/*ER/SEUPB/*BG
pessimism	PESZ/PHEUFPL, PES/PHEUFPL, PES/PHEUS/*PL, PES/SEU/PHEUFPL
trouser	TROUZ/ER, TROUS/*ER, TROUS/ER, TROU/S*ER, TROU/SER, TROURS
temporal	TEPL/POR/AL, TEFRP/ORL, TEPL/PORL, TEFRP/RAL, TEPL/PO/RAL, TEPL/PRAL, T*EPL/RAL
synchronization	S*EUPBG/SA*EUGS, SEUPB/KROPB/SA*EUGS, SEURPBG/SA*EUGS
democratically	TKEPL/KRAT/KHREU, TKEPL/KRAT/EUBG/HREU
as much	SPH*UFP, SPHUFP
reinsert	RAOEPB/SERT
and you have	SKPUF
pannetone	PAPB/TPHE/TOEPB
strikeout	STRAOEUBG/SKWROUT
brogue	PWROEG
microbiological	PHAOEURBG/PWOLG/K-L, PHAOEURBG/HR-LG
consonance	KOPBS/TPHAPBS, KOPB/SO/TPHAPBS, KOPB/STPHAPBS, KAUPBS/TPHAPBS
paramyxo	PA*R/PHEUBGS/SKWRO
vigorously	SREUG/OR/SHREU, SREUG/ROS/HREU
wrapped	PWRAP/-D, WRAP/-D, WRAPD
horrible	HORBL, HOR/PWEUBL, HOR/-BL, HOR/EUBL, HOR/REUBL
peepshows	PAOEP/SHOES
undivided	UPB/TKWAOEUD/-D
antimer	A*EUPBT/PHER, APBT/PHER
jQuery	SKWR*/KWAO*ER, SKWR*/KW*ER
Wynn hotel	WAO*EPB/HOE/TEL
wiry	WAOEUR/REU, WAOEU/REU
limpet	HREUPL/PET
quetiapine	KWE/TAOEU/PAOEUPB
blood level	PWHR*EFL
nanotechnology	TPHAPB/TEPBLG
tragedies	TRAPBLG/TKEUS
Miro	PHEUR/SKWRO
workloads	WORBG/HROEDZ
vivo	SREUF/SKWRO, SREUF/KWRO, SREU/SRO, SREUF/KWRO/KWRO
contrariness	KOPB/TRAEUR/REU/*PBS, KOPB/TRAEUR/*PBS
parsimonious	PARS/PHOEPB/KWROUS
effects on glass	TPEBG/-S/OPB/TKPHRAS
engagement	EPBG/TKPWAEUPLT, EPB/TKPWAEUPBLG/*PLT, EPB/TKPWAEUPLT
Winston-Salem	WEUPBS/TO*PB/SAEUL/EPL
chard	KHARD
roomy	RAO/PH*EU, RAOPL/PH*EU, RAOPL/KWREU
Crick	KREUBG/KREUBG
carbuncle	KAR/PW*UPBG/*L, KAR/PWUPBG/-L
picot	PAOE/KOE
retinoblastoma	RET/TPHO/PWHRAS/TOE/PHA, RELT/TPHO/PWHRAS/TO/PHA, RET/TPHO/PWHRAS/TO/PHA, RET/O/TPHO/PWHRAS/TOE/PHA
crippled	KREUPLD, KREUP/*LD, KREUP/-LD
upgrades	AUP/TKPWRAEUDZ, AUP/TKPWRAEUD/-Z
ha	HAE
throats	THROET/-S, THROETS
ad	A*D
vibrates	SRAOEU/PWRAEUTS, SRAOEUB/RAEUT/-S, SRAOEU/PWRAEUT/-S
sprains	SPRAEUPBS, SPRAEUPB/-S
ossified	OS/TPAOEUD, OS/TPAOEU/-D
atLast	A*T/HRAFT
seasonable	SE/SOPB/-BL, S-PB/-BL
leishmaniosis	HRAOERB/PHA*PB/AOEUS/EUS
prolong	PRO/HROPBG, PROE/HROPBG
arbitrariness	ARB/TRAEUR/*PBS
scowl	SKOUL
longstanding	HROPBG/STAPBD/-G
lifetimes	HRAOEUF/TAOEUPLS
cochlear	KOE/KHRAOER, KOEBG/HRAR, KOEBG/HRAOER
missile	PHEUZ/AOEUL, PHEUSZ/-L, PHEUS/SAOEUL, PHEUS/SEUL, PHEUFL, PHEUS/*L, PHEUS/-L
breaststroke	PWR*ES/STROEBG
Alton	AL/TOPB
Nauvoo	TPHAUF/SKWRAO
Cmax	KR*P/PHA*BGS
loaded	HROED/-D
satirize	SAT/RAOEUZ
fishy	TPEURB/SHEU
Missy	PHEUS/SEU, PH*EUS/KWREU
septo	SEPT/SKWRO
dysthym	TK*EUS/THAOEUPL
weathervane	W*ET/*ER/SRAEUPB
arctic	ARBG/TEUBG, ART/EUBG, AR/TEUBG
disconnection	TKEUS/KEBGS
enrich	EPB/REUFP
{^ifying}	TPAOEUG
vasa	SRA/SA, SRAEUS/KWRA, SRAEU/SA
how much	HAOUFP, HOEU/PHUFP, HOUFP
column-medial	KHRUPL/PHAOED/KWRAL
ulna	UL/TPHA
anus	AEUPB/SKWRUS, AEUPB/TPHUS, A*EUPBS, AEUPB/US
arterial	AR/TAOER/KWRAL, AR/TAOERL, AR/TAORL, AR/TER/KWRAL, ART/AOERL
palisades	PAL/SAEDZ, PAL/HREU/SAEUDZ, PAL/EUS/AEUD/-S, PAL/SAEUDZ
{^-something}	S*G
bungling	PWUPBG/HREUPBG, PWUPBG/-LG
strove	STROEF, STRO*EF
androgyny	APB/TKROPBLG/TPHEU
Lorenti	HROR/EPB/TEU, HROR/EPBT/SKWREU
your driver's	KWROUR/TKRAOEUFRS
repercussion	RE/PER/KUG, RE/PUR/KUGS, REP/KUGS, RAOE/PER/KUGS, RE/PER/KUGS, REP/ER/KUGS
afford	AFRD, A/TPORD
printable	PREUPBT/-BL
diving	TKAOEUFG
gratin	TKPWRAT/EUPB, TKPWRAT/*EUPB, TKPWRA/TEUPB
useful	AOUS/*FL, AOUFL, AOUS/-FL
Worldwide	WO*RLD/WAOEUD
watchfulness	WAFP/TPUL/TPHES, WAFP/-FL/-PBS
blouse	PWHROUS, PWHROUZ
kilo	KAOEL/SKWRO, KAOEL/OE, KEUL/HROE, KEUL/SKWRO, KEU/HROE, KAOE/HROE
Marjorie	PHARPBLG/REU
Nikos	TPHEUBG/OS
and a lot of	SKPA/HROEFLT
glides	TKPWHRAOEUDZ
Riley	RAOEU/HREU, RAOEU/HRAOE
licensor	HRAOEUS/EPB/SOR, HRAOEU/SEPB/SOR
Gropius	TKPWHROEP/KWRUS, TKPWROEP/KWRUS
combined	KOPL/PWAOEUPBD, KPWAOEUPBD, KPAOEUPBD, KPWAOEUPB/-S/-D
corpus juris	KOR/PUS/SKWRAOUR/REUS, KOR/PUS/SKWRUR/REUS, KOR/PUS/SKWRU/REUS, KOR/PUS/SKWRAOU/REUS
entrant	SPWRAPBT, EPB/TRAPBT
suboptimal	SUB/OPT/PHAL
tryptane	TREUP/TAEUPB
induced	EUPB/TKAOUSD, EUPB/TKAOUFD, EUPB/TKAOUS/-D
airline	AEUR/HRAOEUPB
weaving	WAOEFG, WAOEF/-G, WEFG
manifesto	PHAPB/TPES/TOE, PHAPB/EFT/SKWRO
Bergen	PWERG/*EPB
clattering	KHRAT/ER/-G, KHRAT/ERG, KHRAT/*ER/-G
sensibly	SEPBS/PWHREU
Klinger	KHREUPBG/*ER
commits	KPHEUTS
tending	TEPBD/-G, TEPBGD
ineffable	EUPB/TPHEF/-BL, EUPB/EF/-BL
virulence	SREUR/HREPBS, SREUR/KWRU/HREPBS, SREUR/KWRAOU/HREPBS
defend	TK-FPBD, TKAOE/TPEPBD, TKEFD, TKEFPBD, TKE/TPEPBD
savoir-faire	SA*F/WAEUR/TPAEUR, SA*F/WOEUR/TPAEUR, SA/WOEUR/TPAEUR, SA*F/WA/TPAEUR, SA*F/WAU/H-F/TPAEUR, SA*F/WAU/TPAEUR
so,	SORBGS
steps	STEP/-S, STEPS, STEFP/-S
specializes	SPEGS/AOEUZ/-S, SPERBL/AOEUZ/-Z
event	EFPBT, *EFPBT, AOE/SREPBT, AOEPT, AOEFPBT, AOEBT, AOEPBT
anybody	PHEUB, TPHEUB, TPHEU/PWO*D/TKEU
solder	SO*LD/*ER, SORLD, SOLD/*ER, SOD/*ER
Rosenthal	ROES/*EPB/THAL, ROES/*EPB/THAUL
seniors	SAOEPB/KWRORS, SEPB/KWROR/-S, SOEURPBS
Ayershire	AEUR/SHAO*EUR
polyposis	POL/KWREU/POES/EUS, POL/EUP/OES/EUS
they want	THEPT
Technolas	TEBG/TPHO/HRAS
stovepipe	SOEF/PAOEUP
Osaka	OE/SA/KA, O/SA/KA
B-cell	PWHR-BG, PW*P/KREL, PW*/KREL
I can't have been	KWRAFB
laudably	HRAUD/PWHREU
partway	PART/WAEU
Phaedo	TPHAEUD/SKWRO, TPAEUD/SKWRO
shallow	SHA/HROE, SHAL/OE, SHAL/HROE, SHOEUL, SHO*EUL
torments	TOR/-PLTS
phosphatidate	TPOS/TPAT/TKAEUT
importation	EUPL/POR/TAEUGS, EUPL/PORT/AEUGS
recapturing	RE/KAP/TAOUR/-G, RAOE/KAP/TAOURG, REBG/KAP/TUR/-G, RAOE/KAP/TURG
fend	TPEPBD
consulate	KOPB/SHRAT, KOPBS/HRAT
Engel	EPBG/*L
faecalis	TPAOEBG/A*L/EUS
Vladivostok	SRALD/SROS/TOBG
Francisco	TPR*EUFBG, TPROEUFBG, TPRAPB/SEUS/KOE
nitty-gritty	TPHEUT/TEU/TKPWREUT/TEU, TPHEUT/KWREU/TPWREUT/KWREU, TPHEUT/KWREU/TKPWREUT/KWREU, TPH*EUT/KWREU/TKPWREUT/KWREU
Harvard	HAR/SRARD, HAFRB/ARD, HA*FRB/ARD
calcemia	KALS/AOEPL/KWRA
knowledge	23407B8G, STPHOPBLG, TPHOL/EPBLG, TPHOPBLG
qwertyuiop	KWERT/KWROP
Stafford	STAF/TPO*RD, STAFRD, STAF/TPORD
willfully	HR-FL/HREU
vaporize	SRAEU/PO/RAOEUZ, SRAEUP/RAOEUZ
apology	A/POL/SKWREU, POLG, A/POLG, POLG/KWREU, A/POLG/KWREU
Memorial	PH*EPL/ORL
demolish	TKPHOL/EURB, TKAOE/PHOL/EURB, TKE/PHOL/EURB, TKPHOL/EUB
XELOX	KPE/HROBGS
Latinas	HRA*PB/KWRAS
Pinkham	P*EUPBG/HAPL
de Medici	TKE/PHED/KHEU
loin	-T/HROEUPB, HROEUPB
deltopectoral	TKELT/SKWRO/PEBGT/RAL
map-dot-fingerprint	PHAP/TKOT/TPEURPBG/PREUPBT
Columbian	KHRUPL/KWRAPB, KO/HRUPL/KWRAPB
non sui juris	TPHOPB/SAOU/WAOEU/SKWRAOUR/REUS, TPHOPB/SAOU/WAOEU/SKWRUR/REUS, TPHOPB/SAOU/WAOE/SKWRAOU/REUS, TPHOPB/SAOU/WAOE/SKWRUR/REUS, TPHOPB/SAOU/WAOE/SKWRAOUR/REUS
Kayla	KAEUL/KWRA
Burger King	PWURG/*ER/KEUPBG, PWRURG/KEUPBG, PWUR/TKPWER/KEUPBG
fabricating	TPAB/KAEUT/-G, TPARB/KAEUGT
Humira	HU/PHEU/RA, HAOUPL/RA, HAOU/PHEU/RA
Holofernes	HOL/REPB/ES, HOL/TPERPBS
classifiable	KHRAS/TPAOEUBL
midriff	PHEUD/REUF
Simmons	SEUPL/PHOPBZ, SEUPL/PHOPBS, SEUPL/O*PB, SEUPL/O*PB/-S
expanse	EBGS/PAPBS
Aidan	AEUD/*EPB
disappearing	TKEUS/PAOERG, TKEUS/A/PAOERG, TKEUS/PAOERPBG, TKES/PAOER/-G
epinastine	EP/TPHAFT/*EUPB
craze	KRAEUZ
pastureland	PAS/KHUR/HRAPBD
needy	TPHAOED/TKEU, TPHAOE/TKEU
wrappers	WRAP/ERS, WRAP/*ERS
wished	WEURBD
gallant	TKPWAL/HRAPBT
Alysa	A/HRAOE/SA
alcohols	KHOLS
antitussive	A*EUPBT/TUS/TEUF, A*EUPBT/TUS/EUF
luminaria	HRUPL/TPHAEUR/KWRA
prothrombinase	PRO/THROPL/PWEUPB/AEUZ
Chawla	KHAU/HRA
Hippocratic	HEUP/POE/KRAT/EUBG, HEUP/KRAT/EUBG, HEUP/PO/KRAT/EUBG
groups	TKPRAOUPS, TKPWRAOUPS, TPWRAOUPS, TKPWRAOUPLS
subaxillary	SUB/ABGS/HRAEUR
champ	KHAPL/-P, KHAFRP, KHA*PL
incumbency	EUPB/KUPL/PWEPBS/SEU, EUPB/KUPL/PWEPB/SEU, EUPB/KUPL/PWEPBS/KWREU
colonize	KOL/TPHAOEUS, KOL/TPHAOEUZ
Jesus	SKWRAOE/S*US, SKWRAOES/US, SKWRAOE/SUS, SKWRAOES/SKWRUS, SKWRAOES/KWRUS
effectuate	EFBG/SHAEUT, EFBG/KHAEUT, EFBGT/WAEUT, AOE/TPEBG/KHAOU/WAEUT, AOE/TPEBG/SHAEUT, AOE/TPEBG/KHAEUT, EFBG/KHU/WAEUT, EF/TPEBGT/WAEUT, TPEBGT/WAEUT, AOE/TPEBGT/WAEUT, AOE/TPEBG/KHU/WAEUT, EFBG/KHAOU/WAEUT
halitosis	HAL/TOES/EUSZ, HAL/TOES/EUS, HAL/TOE/SEUS, HA/HREU/TO/SEUS, HA/HREU/TOE/SEUS, HAL/TO/SEUS
trick	TREUBG, TREUBG/KWEU
fewest	TPAOUFT, TPAOU/EFT
eligibility	EL/EUPBLG/EUBLT, EL/SKWREUBL/TEU, EL/SKWREUBLT, EL/SKWREUBL/-BLT
confidences	K-FDZ
self	S*EF, S*EFL, SEL/-F
stocking	STOBG/-G
pulled	PULD, PUL/-D
adipose	AD/POES
birthstone	PW*EURT/STOEPB
Down syndrome	TKOUPB/AES/STKROEPL, TKOUPB/SEUPB/TKROEPL, TKOUPB/STKROEPL, TKOUPB/STROEPL
King	KO*EUPBG, KAO*EPBG, KEUPBG/KEUPBG
when should	WH-RBD
it happens	T-PS
haploid	HAP/HROEUD
noisome	TPHOEU/SPH
wheezing	WHAOEFG
sharer	SHAEUR/ER
doot	TKAOT
scot-free	SKOT/TPRAOE, SKOT/TPRAO*E
weekly	WAOEBG/HREU, WAOELG
millions of	PHOEUFPBS
ampersands	A*PL/SAPBD/-S
superficially	SAOUP/TPEURBL/HREU, SAO*UP/TPEURB/HREU
microcephaly	PHAOEURBG/SEF/HREU
OCR	ORBGS/KR*R
u-turn	UPLT/TURPB
bourgeois	PWURPBLG/WA, PWOURPBLG/WAU, PWAOURPBLG/WA, PWOURPBLG/WOEUS, PWORPBLG/WOEUS, PWORPBLG/WA, PWURPBLG/WOEU, PWOURPBLG/WA, PWAOURPBLG/WAU, PWAOURPBLG/WOEUS
about assumption	PW/A/SUPBLGS, PW/A/SUPLGS
lithosphere	HR*EUT/STPAOER, HR*EUTS/TPAOER
oy{,}oy{,}oy	OEU/KWROEU/KWROEU
the metaphysical	-T/PHO*EUT/TPEUS
videlicet	WEU/TKAEU/HREU/KET, SREU/TKEL/SET, SREUD/HREU/SEUT
technical	TEBG/KAL, TEBG/TPHEUBG/A*L, TEBG/K-L, TEBG/TPHEUBG/AL, TEBG/TPHEU/KAL, TEBG/TPHEUBG/KWRA*L
keg	KEG
gadfly	TKPWAD/TPHREU, TKPWAD/TPHRAOEU
crappier	KRAP/KWRER
trot	TROT
palpitation	PAL/PEU/TAEUGS, PAL/-P/TAEUGS, PAPL/TAEUGS
candlesticks	KAPBD/*L/STEUBG/-S
warrant	WARPBT, WAR/RAPBT
toothy	TAO*T/KWREU
aborted	A/PWORT/-D
Mather	PHA*T/*ER
prevarication	PRE/SRAR/KAEUGS, PRE/SRAEUR/KAEUGS
Smith	SPH*EUT
introverted	EUPB/TRO/SREFRBT/-D, EUPB/TROE/SRERT/-D
anthracycline	A*PBT/RA/SAOEUBG/HREUPB, A*RPBT/SAOEUBG/HREUPB, A*PBT/TRO/SAOEUBG/HRAOEUPB, A*PBT/SAOEUBG/HREUPB, A*PBT/RO/SAOEUBG/HREUPB, A*PBT/RA/SAOEUBG/HRAOEUPB
Seychelles	SAEU/SHELZ
muddiest	PHUD/KWR*ES
counteracting	KOUPBT/ER/ABGT/-G
veined	SRAEUPB/-D
Kucera	KU/SE/RA, KAOUS/RA
trephine	TREF/A*PB
gulfs	TKPWUL/-FS
snippily	STPHEUP/HREU
otolaryngological	OET/HRAEURPBG/HR-LG, OT/SKWRO/HRAEURPBG/HR-LG
misappropriates	PHEUS/PROEPTS
ushered	URB/ER/-D, URB/ERD
advertisement	TEUPLT, TAOEUFPLT, TAOEUPLT, TEUFPLT
precludes	PRE/KHRAOUD/-S, PRE/KHRAOUDZ, PRAOE/KHRAOUDZ
alderwood	ALD/*ER/WAOD
NATO	TPHAEU/TOE
futilely	TPAOUT/HREU, TPAOUT/EL/HREU
Pharkas	TPAR/KAS
mid-tone	PHEUD/H-PB/TOEPB
untidy	UPB/TAOEUD/TKEU, UPB/TAOEUD/KWREU
defibrillator	TKE/TPEURB/HRAEURT, TKE/TPAEURB/HRAEURT
pyrotechnics	PAOEUR/TEBG/TPHEUBG/-S
persuading	PER/SWAEUD/-G
musculophrenic	PHUFBG/HRAR/TPREPB/EUBG
she believed	SHEBLD
chaparral	SHAP/RAL
casualties	KARBLTS, KARB/WALTS, KAFL/TEU/-S, KAS/WALT/KWREU/-S
possessive	POE/SES/S*EUF, PO/SES/S*EUF, POS/SES/S*EUF
rheumatological	RAOUPL/TO/HR-LG
stickler	STEUBG/HRER
Adriatic	AEURD/KWRAT/EUBG
Cued	KAOU/-D
scorings	SKOR/-GS, SKOER/-GS
receptionists	RE/SEPGS/EUFTS, RAOE/SEPGS/EUFTS
one time	WAOEUPL
branch is	SPWRAFRPB
rereads	RE/RAED/-S, RE/RAED/-Z, RE/RAEDZ, RAOE/RAOEDZ
SARS	SARS
distressed	TKEUZ/TREFD, TKEUS/TREFD, STKREFD, TKEUS/TRES/-D
changers	KHAEUPBG/ERS
deflagration	TKEF/HRA/TKPWRAEUGS
what felt	WHAFLT
mumbles	PHUPL/*BL/-S, PHUPL/-BLS
it up	TUP
southerner	SO*UT/TPHER, SOURPB/*ER, SO*UT/ER/TPHER, SOU/THER/TPHER
chao	KHAO
Hoskins	HOS/KEUPB/-S
hepatologist	HEP/TOLG/EUFT
{^ometry}	OPL/TREU
Princess Leia	PREUPB/SES/HRAEU/KWRA
transaminase	TRAPBS/APL/TPHAEUS, TRAPBS/APL/TPHAEUZ, TRAPBZ/APL/TPHAEUS, TRAPBZ/APL/TPHAEUZ
taxpayer	TABGS/PAEU/KWRER, TABGS/PA*EU/KWRER, TABGS/PAEUR, TABGS/PA*EU/ER, TABGS/PAEU/ER, TA*EUP
hunks	HUPB/-BGS, H*UPB/*BG/-S
fibulin	TPEUB/HREUPB
coo	KAO*
essay	SA*E, ES/SAEU
askers	SK-RS
dontist	TKOPBT/EUFT
dated it	TKAEUT/T-D
summarization	SUPL/REUZ/AEUGS, SUPL/REU/SA*EUGS, SUPL/PHAEUR/SAEUGS
hyperacusis	HAOEURP/A/KAOUS/EUS
starting to	START/TOG
spick and span	SPEUBG/APBD/SPAPB
incrimination	EUPB/KREUPL/TPHAEUGS
handy-dandy	HAPBD/KWREU/TKAPBD/KWREU
vagueness	SRAEUG/-PBS, SRAEUG/TPHES
precautionary	PRE/KAUGS/REU, PRE/KAUGS/AER
punctually	PUPBG/TWAL/HREU, PUPBG/TWAEL
mesh	PHERB
ho-hum	HOE/HUPL
oblong	OB/HROPBG
Lithgow	HR*EUT/TKPWOU
parenthesis	PE/REPB/THE/SEUS, PA*RPBT/SEUS, PREPB/THE/SEUS, PR*EPBT/SEUS, PA/R*EPBT/SEUS, PREPB/THES/EUS, PRAPB/THAOE/SEUS
deject	TKE/SKWREBGT
headwind	HED/W*EUPBD
Lucie	HRAOUS/AO*E
guess{.}	TKPWEFPS
antiviral	TPHRAOEURL
perversion	PER/SRERGS
spokeswomen	SPOEBG/-S/WEUPL, SPOEBGS/WEUPL
asparagus	A/SPAEUR/TKPWUS, A/SPAR/TKPWUS, SPAR/TKPWUS, AS/SPAR/TKPWUS, AS/PA/RA/TKPWUS, AS/PAR/TKPWUS
Boyardee	PWOEU/KWRAR/TKAOE
Zyflo	SAO*EU/TPHROE, SAO*EU/TPHRO
tatters	TAT/*ER/-S, TAT/ERS
equations	AOE/KWAEUGS/-S
corticopetal	KORT/KO/P*ELT
economic efficiency	KPHEBG/TPEURBS/SEU
fella	TPEL/HRA
seasick	SAE/SEUBG
providers	PROE/SRAOEUD/ERS, PRO/SRAOEUD/*ER/-S, PRO/SRAOEUD/*ERS, PROEUFRDZ
droopiness	TKRAOP/PEU/*PBS
limbs	HREUPLS, HREUPL/-BS
randomized	TKRO*PL/AO*EUFD
Brouchard	PWRAOU/KHARD
vehicular manslaughter	SRAO*EPLS
moneys	PHOPB/EUS, PHUPB/-S
chowders	KHOUD/ERS
telegram	TEL/TKPWRAPL
excerpted	KPERPT/-D
telecom	T*EL/KOPL, TEL/KO*PL
orangeade	OR/APB/SKWRAEUD
Metrazol	PHERT/SO*L
troops	TRAOPS, TRAOP/-S
weary	WAOE/REU, WAOER/KWREU, WAOER/REU
detailing	TKE/TAEULG
eribulin	EUR/EUB/HREUPB, ER/EUB/HREUPB
teasing	TAOES/-G, TAOEFG
tidiness	TAOEUD/TKEU/*PBS, TAOEU/TKEU/*PBS
IUD	EURBGS/*UD
lei	HRA*EU
font	TPOPBT
troughs	TROFS
garbage	TKPWAR/PWAPBLG, TKPWARBG, TKPWARB/APBLG, TKPWARPBLG
definitionally	TKEUFGS/HREU, TKEF/TPHEUGS/HREU
Westminster	WEFT/PHEUPBS/TER, WEFT/PHEUPB/STER
piston	PEUFT/O*PB, PEUS/TOPB, PEUS/TO*PB
shining	SHAOEUPB/-G, SHAOEUPBG
feller	TPEL/HRER
New Deal	TPH*U/TKAOEL
Lennon	HREPB/O*PB
machinations	PHEBG/TPHAEUGS/-S
sardonically{.}	SAR/TKOPB/KHREU/-FPLT
demographics	TKEPL/TKPWRABGS, TKEPL/TKPWRAFBGS, TKEPL/TKPWRAF/EUBGS
panegyrically	PAPB/SKWREUR/KHREU, PAPB/SKWREURBG/HREU
an indication	APB/KAEUGS
terrazzo	TER/RAZ/SO*E, TRAZ/OE
customization	KUS/TOPL/SA*EUGS, SUFPL/SA*EUGS, SUFT/SA*EUGS
transmittal	TRAPBS/PHEUT/AL, TRAPBS/PHEUT/A*L, TRA*PBS/PHEUT/TAL
Ross	ROSZ, RO*S, ROS
achiever	A/KHAOEFR
Maldonado	PHAL/TKO/TPHA/TKO, PHALD/TPHA/TKO
Kay	KAEU
effectively	TPEFL/HREU, TPEFL, TPEBGT/EUFL
gendarme	SKWREPB/TKARPL, SKWRAPB/TKARPL
innocent	TPH-PBT, EUPB/TPHO/SEPBT, EUPB/TPHOE/SEPBT
{#BackSpace}	W-FP
aim	AEUPL
skyrocketed	SKAOEU/ROBGT/-D
integrin	EUPB/TEG/REUPB, EUPBT/TKPWREUPBS, EUPBT/TKPWREUPB, EUPBT/TKPWRAEUPB
resumed	RAOE/SAOUPLD, RE/SAOUPL/-D, RAOUPLD
fru-fru	TPRU/TPRU
invitation	EUPB/SREUT/AEUGS, EUPB/SREU/TAEUGS, EUPB/SREUT/TAEUGS
flashed	TPHRARBD
countermand	KO*UPBT/PHAPBD
whoa	WHOE
write-ups	WRAOEUT/SKWRUP/-S
gynopathy	SKWRAOEU/TPHOP/TH*EU
Lombardi	HROPL/PWARD/*EU, HROPL/PWAR/TKEU
autogenous	AU/TOPBLG/TPHOUS, O*EUT/SKWREPB/OUS, AU/TO/SKWREPB/OUS
what-not	WHA*/TPHOT
meters	PHAOERT/-S, PHAOET/ERS, PHAOERTS, PHAOET/*ER/-S
{fore^}	TPOER
Senate	STPHA*T, S*EPB/TPHAT
configuring	KOPB/TPEUG/KWRURG
Chris Coyier	KREUS/KWROEU/KWRER
Brahmanism	PWRAPL/A*PB/EUFPL
domains	TKPHAEUPBS
Biotne	PWO*EU/TAOEPB
anthology	APBT/OLG, APB/THOLG, A*PBT/OLG
smattered	SPHAT/ERD, SPHAT/ER/-D
loftier	HROFT/KWRER
dully	TKUL/HREU
Washington Height	WA*/HAOEUT
clack	KHRABG
nicely	TPHAOEUS/HREU, TPHRAOEUS/HREU, TPHAOEULS
confectionary	KAUPB/TPEBGS/REU, KAUPB/TPEBGS/TPHAER
Klondike	KHROPBD/AOEUBG
revenue	R*EF/TPHAOU, RAOUFPBG, REF/TPHU, R*EFPB, REF/TPHAOU, RAFPB/AOU, REFPB/AOU, RAOUFPB, RAO*UFPB, RAOEF/TPHAOU, RAOEUFPB
mystification	PHEUS/TEUF/KAEUGS, PHEUFT/TPA*EUBGS, PHEUS/TEU/TPEU/KAEUGS, PH*EUS/TPEU/KAEUGS
hypothermia	HO*EUP/THERPL/KWRA
melodrama	PHEL/KWRO/TKRA/PHA, PHEL/TKRA/PHA, PHEL/HRO/TKRA/PHA, PHEL/TKRAPL/PHA, PHEL/SKWRO/TKRA/PHA
Roy King	ROEU/KEUPBG
toppled	TOP/-LD, TOP/*L/-D
frenula	TPREPB/HRA
appositional	AP/SEUGS/A*L
Polaroid	POE/HRA/ROEUD, POEL/ROEUD, POEUL/ROEUD, POE/HRAR/OEUD
silhouetting	SEUL/HRO/WET/-G, SEUL/HROE/WET/-G, SEUL/HROE/ET/-G, SEUL/HRO/ET/-G
testosterone	TES/TOFT/ROEPB, TEFT/TOFT/ROEPB, TEFT/OFT/ROPB, TES/TOS/TE/ROEPB, T*ES/OS/TE/ROEPB, TES/TOS/TER/OEPB, TES/TO*S/ROEPB, TES/TOS/STER/OEPB, TES/TOS/TROEPB, TEFT/OFT/ROEPB, TEFT/OEFT/ROEPB, T*ES/O*S/ROEPB, TRO*EPB
refer referable	REFR/REFR/-BL, RE/TPER/RE/TPER/-BL
tibia	TEUB, TEUB/KWRA
stubborn	STUB/PWORPB, STUB/O*PB, STURPB, STUB/ORPB, SPUB/PWORPB
bludgeon	PWHRUD/SKWROPB, PWHRUPBLG/SKWROPB, PWHRUGS, PWHRUD/SKWREPB, PWHRUPBLG/-PB
{^olysis}	OL/SEUS
declared	TKE/KHRAEURD, TKAEU/KHRAEUR/-D, TKAOE/KHRAEURD, TKE/KHRAEUR/-D
purge	PURPBLG
unaccented	UPB/ABG/SEPBT/-D
Centrum	SEPB/TRUPL
Jenga	SKWREPBG/KWRA, SKWREPBG/SKWRA
3/4	340EU
indiscriminately	EUPB/TKEUS/TREUPL/TPHAT/HREU, EUPB/TKEUS/KREUPL/TPHAEUT/HREU
costodiaphragm	KOFT/SKWRO/TPRAEPL
doll	TKOL
Miriam	PHEUR/KWRAPL
initiatory	EUPB/EURB/TOER
Pamela	PAPL/HRA
merchantable	PHER/KHAPBT/-BL
papering	PAEUP/ER/-G, PAEUP/ERG, PAEUP/*ER/-G
Kirkland	KEURBG/HRA*PBD
contributed	KR-BTD, KR-RT/-D, KR-BTD/-D, KR-RBLT/-D, KOPB/TREUB/TED
stakeholder	STAEUBG/HO*ELD/*ER, STOERBGD, STAEUBG/HOELD/*ER, STAEUBG/HOERLD
Laura Ingalls	HRAUR/KWRA/EUPB/TKPWAL
decreased	TKAOE/KRAOES/-D, TE/KRAOES/-D, TKE/KRAOEUS/-D, TKE/KRAOES/-D
suprasellar	SAOUP/RA/KREL/HRAR
congenital adrenal	KAUPB/SKWREPB/TAL/A/TKRAOEPBL
investitive	EUPB/SR*ES/T*EUF, TPH*FS/T*EUF
Key West	KAOE/WEFT
Shevonne	SHE/SROPB
dysmorph	TKEUS/PHO*FR
ravish	RAF/EURB, RA*F/EURB
